Vardas              Pavarde             Galutinis (med.)  
-------------------------------------------------------------------
Vardenis8           Pavardenis8         4.50              
Vardenis10          Pavardenis10        4.50              
Vardenis14          Pavardenis14        3.00              
Vardenis23          Pavardenis23        4.50              
Vardenis24          Pavardenis24        3.50              
Vardenis25          Pavardenis25        4.50              
Vardenis28          Pavardenis28        4.00              
Vardenis29          Pavardenis29        3.50              
Vardenis30          Pavardenis30        4.00              
Vardenis34          Pavardenis34        4.00              
Vardenis36          Pavardenis36        4.00              
Vardenis46          Pavardenis46        3.50              
Vardenis49          Pavardenis49        4.50              
Vardenis52          Pavardenis52        4.50              
Vardenis54          Pavardenis54        4.00              
Vardenis58          Pavardenis58        3.50              
Vardenis60          Pavardenis60        3.00              
Vardenis62          Pavardenis62        4.50              
Vardenis65          Pavardenis65        4.00              
Vardenis68          Pavardenis68        4.00              
Vardenis69          Pavardenis69        4.00              
Vardenis70          Pavardenis70        3.50              
Vardenis73          Pavardenis73        3.00              
Vardenis78          Pavardenis78        3.00              
Vardenis80          Pavardenis80        4.50              
Vardenis81          Pavardenis81        3.50              
Vardenis82          Pavardenis82        4.00              
Vardenis87          Pavardenis87        3.00              
Vardenis90          Pavardenis90        4.00              
Vardenis91          Pavardenis91        4.50              
Vardenis93          Pavardenis93        4.00              
Vardenis95          Pavardenis95        4.50              
Vardenis97          Pavardenis97        2.50              
Vardenis98          Pavardenis98        3.50              
Vardenis99          Pavardenis99        4.00              
Vardenis100         Pavardenis100       3.50              
Vardenis109         Pavardenis109       4.50              
Vardenis114         Pavardenis114       4.00              
Vardenis117         Pavardenis117       2.00              
Vardenis118         Pavardenis118       4.50              
Vardenis121         Pavardenis121       4.00              
Vardenis127         Pavardenis127       4.50              
Vardenis132         Pavardenis132       4.00              
Vardenis137         Pavardenis137       3.00              
Vardenis138         Pavardenis138       3.50              
Vardenis142         Pavardenis142       4.00              
Vardenis143         Pavardenis143       2.00              
Vardenis145         Pavardenis145       4.00              
Vardenis146         Pavardenis146       4.00              
Vardenis150         Pavardenis150       4.00              
Vardenis155         Pavardenis155       3.50              
Vardenis157         Pavardenis157       4.50              
Vardenis160         Pavardenis160       4.00              
Vardenis166         Pavardenis166       3.00              
Vardenis168         Pavardenis168       4.50              
Vardenis171         Pavardenis171       4.00              
Vardenis174         Pavardenis174       4.50              
Vardenis176         Pavardenis176       3.50              
Vardenis178         Pavardenis178       4.50              
Vardenis185         Pavardenis185       4.00              
Vardenis189         Pavardenis189       2.50              
Vardenis193         Pavardenis193       4.50              
Vardenis196         Pavardenis196       4.00              
Vardenis198         Pavardenis198       4.00              
Vardenis200         Pavardenis200       4.00              
Vardenis204         Pavardenis204       3.50              
Vardenis207         Pavardenis207       4.50              
Vardenis212         Pavardenis212       3.00              
Vardenis216         Pavardenis216       4.00              
Vardenis220         Pavardenis220       3.50              
Vardenis224         Pavardenis224       4.50              
Vardenis225         Pavardenis225       4.00              
Vardenis227         Pavardenis227       3.50              
Vardenis229         Pavardenis229       3.00              
Vardenis230         Pavardenis230       4.00              
Vardenis235         Pavardenis235       4.00              
Vardenis242         Pavardenis242       4.00              
Vardenis246         Pavardenis246       4.50              
Vardenis247         Pavardenis247       4.50              
Vardenis249         Pavardenis249       3.00              
Vardenis256         Pavardenis256       4.50              
Vardenis262         Pavardenis262       4.50              
Vardenis268         Pavardenis268       4.50              
Vardenis269         Pavardenis269       3.50              
Vardenis274         Pavardenis274       4.00              
Vardenis285         Pavardenis285       3.50              
Vardenis296         Pavardenis296       2.50              
Vardenis297         Pavardenis297       4.00              
Vardenis302         Pavardenis302       4.50              
Vardenis305         Pavardenis305       3.00              
Vardenis306         Pavardenis306       4.50              
Vardenis312         Pavardenis312       4.50              
Vardenis317         Pavardenis317       4.00              
Vardenis322         Pavardenis322       4.00              
Vardenis330         Pavardenis330       2.50              
Vardenis332         Pavardenis332       4.00              
Vardenis334         Pavardenis334       3.00              
Vardenis335         Pavardenis335       3.00              
Vardenis351         Pavardenis351       4.50              
Vardenis352         Pavardenis352       4.00              
Vardenis356         Pavardenis356       2.50              
Vardenis358         Pavardenis358       4.00              
Vardenis360         Pavardenis360       4.00              
Vardenis364         Pavardenis364       4.50              
Vardenis366         Pavardenis366       4.50              
Vardenis375         Pavardenis375       4.50              
Vardenis376         Pavardenis376       4.50              
Vardenis377         Pavardenis377       4.00              
Vardenis380         Pavardenis380       4.50              
Vardenis383         Pavardenis383       4.50              
Vardenis385         Pavardenis385       4.50              
Vardenis388         Pavardenis388       4.00              
Vardenis397         Pavardenis397       3.50              
Vardenis404         Pavardenis404       3.00              
Vardenis410         Pavardenis410       4.00              
Vardenis412         Pavardenis412       2.50              
Vardenis415         Pavardenis415       4.50              
Vardenis416         Pavardenis416       4.00              
Vardenis422         Pavardenis422       3.00              
Vardenis423         Pavardenis423       4.50              
Vardenis427         Pavardenis427       3.00              
Vardenis431         Pavardenis431       3.50              
Vardenis433         Pavardenis433       3.50              
Vardenis434         Pavardenis434       4.50              
Vardenis437         Pavardenis437       4.50              
Vardenis438         Pavardenis438       3.00              
Vardenis439         Pavardenis439       4.00              
Vardenis440         Pavardenis440       4.50              
Vardenis441         Pavardenis441       3.00              
Vardenis442         Pavardenis442       4.50              
Vardenis447         Pavardenis447       2.50              
Vardenis449         Pavardenis449       4.00              
Vardenis456         Pavardenis456       4.00              
Vardenis458         Pavardenis458       4.50              
Vardenis465         Pavardenis465       3.00              
Vardenis466         Pavardenis466       4.00              
Vardenis467         Pavardenis467       4.50              
Vardenis471         Pavardenis471       2.50              
Vardenis472         Pavardenis472       4.00              
Vardenis473         Pavardenis473       4.00              
Vardenis485         Pavardenis485       4.00              
