Vardas              Pavarde             ND1     ND2     ND3     ND4     ND5     ND6     ND7     ND8     ND9     ND10    Egz.    
Vardenis1           Pavardenis1         1       2       6       6       6       4       3       1       7       9       3       
Vardenis2           Pavardenis2         7       3       10      10      6       7       7       6       8       6       10      
Vardenis3           Pavardenis3         5       10      9       5       5       10      3       9       6       3       1       
Vardenis4           Pavardenis4         10      1       1       10      8       4       4       4       10      9       10      
Vardenis5           Pavardenis5         1       10      5       5       10      4       5       9       3       6       7       
Vardenis6           Pavardenis6         9       7       8       4       10      1       6       8       6       7       8       
Vardenis7           Pavardenis7         5       1       10      6       10      6       8       6       5       9       3       
Vardenis8           Pavardenis8         1       7       4       7       3       8       5       4       4       5       8       
Vardenis9           Pavardenis9         6       2       1       7       6       10      4       6       7       10      9       
Vardenis10          Pavardenis10        3       5       2       10      4       1       3       10      5       10      7       
Vardenis11          Pavardenis11        6       9       6       8       9       7       3       9       6       7       1       
Vardenis12          Pavardenis12        10      5       4       10      4       5       2       1       6       10      9       
Vardenis13          Pavardenis13        1       10      3       7       10      5       8       7       7       2       5       
Vardenis14          Pavardenis14        1       3       1       3       5       10      3       1       6       9       4       
Vardenis15          Pavardenis15        7       7       5       10      3       3       1       10      5       7       8       
Vardenis16          Pavardenis16        4       3       3       2       5       5       7       5       8       9       1       
Vardenis17          Pavardenis17        3       6       10      8       7       8       6       3       1       10      8       
Vardenis18          Pavardenis18        8       5       8       3       5       4       10      5       2       1       8       
Vardenis19          Pavardenis19        8       3       6       6       10      2       1       2       4       7       2       
Vardenis20          Pavardenis20        8       7       9       9       1       6       6       4       6       6       6       
Vardenis21          Pavardenis21        6       1       5       6       8       5       1       5       2       5       6       
Vardenis22          Pavardenis22        10      3       10      6       10      9       6       2       4       9       10      
Vardenis23          Pavardenis23        7       2       1       1       8       5       2       7       4       8       6       
Vardenis24          Pavardenis24        1       2       3       9       4       2       5       2       4       7       4       
Vardenis25          Pavardenis25        5       3       5       2       10      10      2       4       5       1       5       
Vardenis26          Pavardenis26        10      1       4       5       6       10      9       7       10      4       1       
Vardenis27          Pavardenis27        7       5       7       9       4       10      5       5       2       10      7       
Vardenis28          Pavardenis28        4       4       3       4       3       2       10      8       10      8       7       
Vardenis29          Pavardenis29        8       10      4       2       3       2       2       5       2       4       6       
Vardenis30          Pavardenis30        4       8       8       4       4       4       10      2       3       3       3       
Vardenis31          Pavardenis31        9       9       8       5       7       1       8       8       5       4       4       
Vardenis32          Pavardenis32        9       4       8       5       3       10      6       10      5       7       7       
Vardenis33          Pavardenis33        10      4       7       1       7       8       9       9       6       10      5       
Vardenis34          Pavardenis34        1       2       1       10      1       4       8       9       4       9       5       
Vardenis35          Pavardenis35        8       3       9       7       10      7       2       4       5       9       9       
Vardenis36          Pavardenis36        5       10      9       2       3       8       2       4       3       4       2       
